_id,term,high_school_name,high_school_ceeb,city,county,zip_code,total_attending_suny_institutions,attending_suny_doctoral_institutions,attending_suny_comprehensive_colleges,attending_suny_technology_colleges,attending_suny_community_colleges
608833494e591253b5937387,2019,Our Lady Of Mercy High School,334845,Rochester,Monroe,14610,27,11,9,1,6
608833494e591253b5937388,2019,Taconic Hills Central  H S,334505,Craryville,Columbia,12521,41,0,1,4,35
608833494e591253b5937389,2019,Colton - Pierrepont Central Sc,331450,Colton,St. Lawrence,13625,10,0,1,6,1
608833494e591253b593738a,2019,Seneca Comprehensive High Scho,331110,Buffalo,Erie,14207,1,0,0,0,1
608833494e591253b593738b,2019,Darrow School,333350,New Lebanon,Columbia,12125,8,1,1,0,4
608833494e591253b593738c,2019,Urban Assembly School Of Desig,334077,New York,New York,10019,8,1,1,0,5
608833494e591253b593738d,2019,Madrid - Waddington Central Sc,332970,Madrid,St. Lawrence,13660,25,1,8,11,5
608833494e591253b593738e,2019,Monsignor Farrell High School,335352,Staten Island,Richmond,10306,31,13,14,1,1
608833494e591253b593738f,2019,Fonda - Fultonville Central H,331930,Fonda,Montgomery,12068,41,4,1,7,28
608833494e591253b5937390,2019,Hackley School,335540,Tarrytown,Westchester,10591,4,4,0,0,0
608833494e591253b5937391,2019,Willsboro Central High School,335985,Willsboro,Essex,12996,8,1,4,1,0
608833494e591253b5937392,2019,William E. Grady Tech. Voc Hig,330903,Brooklyn,Kings,11235,7,0,0,6,1
608833494e591253b5937393,2019,Bainbridge - Guilford Central,330290,Bainbridge,Chenango,13733,37,1,7,6,21
608833494e591253b5937394,2019,Fordham Leadership For Busines,330604,Bronx,Bronx,10458,1,0,1,1,0
608833494e591253b5937395,2019,Williamsville High Sch South,335982,Williamsville,Erie,14221,99,27,28,1,42
608833494e591253b5937396,2019,Greenburgh 11  U F S D  High S,331633,Dobbs Ferry,Westchester,10522,1,0,0,0,1
608833494e591253b5937397,2019,Bronx Lab School,330804,Bronx,Bronx,10467,10,0,8,1,1
608833494e591253b5937398,2019,Portville Central School,334600,Portville,Cattaraugus,14770,41,1,9,6,25
